Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Kendall, Giles S; Robertson, Nicola J; Marlow, Neil; Ourselin, Sebastien; ",Longitudinal measurement of the developing grey matter in preterm,,,,,,
"Johnston, Edward William; Antonelli, Michela; Dikaios, Nikolaos; Ourselin, Sebastien; Atkinson, David; Punwani, Shonit; ",Improving the Reproducibility of Quantitative Imaging Metrics for Multicentre Multiparametric Prostate MRI Trials,,,,,2017,ISMRM
"Klemt, Christian; Modat, Marc; Pichat, Jonas; Cardoso, M Jorge; Henckel, Joahnn; Hart, Alister; Ourselin, Sebastien; ",Automatic assessment of volume asymmetries applied to hip abductor muscles in patients with hip arthroplasty,Medical Imaging 2015: Image Processing,9413,,427-433,2015,SPIE
"Lucena, Oeslle; Vos, Sjoerd B; Vakharia, Vejay; Duncan, John; Ashkan, Keyoumars; Sparks, Rachel; Ourselin, Sebastien; ",Using convolution neural networks to learn enhanced fiber orientation distribution models from commercially available diffusion magnetic resonance imaging,arXiv preprint arXiv:2008.05409,,,,2020,
"Rohrer, Jonathan D; Lashley, Tammaryn; Schott, Jonathan M; Warren, Jane E; Mead, Simon; Isaacs, Adrian M; Beck, Jonathan; Hardy, John; De Silva, Rohan; Warrington, Elizabeth; ",Clinical and neuroanatomical signatures of tissue pathology in frontotemporal lobar degeneration,Brain,134,9,2565-2581,2011,Oxford University Press
"Shaw, Richard; Sudre, Carole; Ourselin, Sebastien; Cardoso, M Jorge; ",MRI k-space motion artefact augmentation: model robustness and task-specific uncertainty,,,,,2019,
"Irzan, Hassna; Fidon, Lucas; Vercauteren, Tom; Ourselin, Sebastien; Marlow, Neil; Melbourne, Andrew; ",Min-Cut Max-Flow for Network Abnormality Detection: Application to Preterm Birth,"Uncertainty for Safe Utilization of Machine Learning in Medical Imaging, and Graphs in Biomedical Image Analysis: Second International Workshop, UNSURE 2020, and Third International Workshop, GRAIL 2020, Held in Conjunction with MICCAI 2020, Lima, Peru, October 8, 2020, Proceedings 2",,,164-173,2020,Springer
"Orasanu, Eliza; Melbourne, Andrew; Cardoso, Manuel Jorge; Lomabert, Herve; Kendall, Giles S; Robertson, Nicola J; Marlow, Neil; Ourselin, Sebastien; ",Cortical folding of the preterm brain: a longitudinal analysis of extremely preterm born neonates using spectral matching,Brain and behavior,6,8,e00488,2016,Wiley Online Library
"Aksman, Leon; Firth, Nicholas; Scelsi, Marzia; Schott, Jonathan; Ourselin, Sebastien; Altmann, Andre; ",An event based model of Alzheimer’s Disease in APOE+ subjects using robust biomarkers of volumetric change in regional brain structure,Alzheimer's & Dementia,14,7,P129,2018,No longer published by Elsevier
"Xiao, Fenglai; Caciagli, Lorenzo; Wandschneider, Britta; Sander, Josemir W; Sidhu, Meneka; Winston, Gavin; Burdett, Jane; Trimmel, Karin; Hill, Andrea; Vollmar, Christian; ",Effects of carbamazepine and lamotrigine on functional magnetic resonance imaging cognitive networks,Epilepsia,59,7,1362-1371,2018,Wiley Online Library
"Vos, Sjoerd B; Melbourne, Andrew; Duncan, John S; Ourselin, Sebastien; ",Intracellular volume fraction estimation in vivo in single and crossing fibre regions,Proc. Intl. Soc. Mag. Reson. Med,24,,2016,2000,
"Keihaninejad, Shiva; Zhang, Hui; Shakespeare, Tim; Ryan, Natalie; Malone, Ian; Frost, Chris; Cardoso, Manuel; Modat, Marc; Lehmann, Manja; Mancini, Laura; ",IC‐P‐143: Longitudinal changes in fiber tract integrity in posterior cortical atrophy: Serial diffusion tensor imaging,Alzheimer's & Dementia,8,4S_Part_2,P75-P75,2012,Wiley Online Library
"Cortese, Rosa; Magnollay, Lise; De Angelis, Floriana; Prados Carrasco, F; Grussu, Francesco; Tur Gomez, C; Yiannakas, Marios; Simone, Isabella Laura; Altmann, Daniel R; Miller, DH; ",No differences in spinal cord DTI abnormalilties between neuromyelitis optica spectrum disorder and multiple sclerosis,Multiple Sclerosis Journal,,,,2016,European Committee for Treatment and Research in Multiple Sclerosis (ECTRIMS)
"Melbourne, Andrew; Eaton-Rosen, Zach; Kendall, Giles; Price, David; Bainbridge, Alan; Cady, Ernest; Robertson, Nicola J; Marlow, Neil; Ourselin, Sebastien; ",Longitudinal imaging of the preterm brain: white matter multi-component T2 relaxometry and MR spectroscopy,Proc. Intl. Soc. Mag. Reson. Med,22,,0460,2014,
"Xia, Wenfeng; Noimark, Sacha; Maneas, Efthymios; Singh, Mithun Kuniyil Ajith; Ourselin, Sebastien; West, Simeon J; Desjardins, Adrien E; ",LED-based photoacoustic imaging of medical devices with carbon nanotube-polydimethylsiloxane composite coatings,Clinical and Translational Biophotonics,,,JW3A. 4,2018,Optica Publishing Group
"Maneas, Efthymios; Aughwane, Rosalind; Huynh, Nam; Xia, Wenfeng; Ansari, Rehman; Kuniyil Ajith Singh, Mithun; Hutchinson, J Ciaran; Sebire, Neil J; Arthurs, Owen J; Deprest, Jan; ",Front Cover: Photoacoustic imaging of the human placental vasculature (J. Biophotonics 4/2020),Journal of Biophotonics,13,4,1214-1229,2020,Wiley Online Library
"Granados, Alejandro; Vakharia, Vejay; Rodionov, Roman; Schweiger, Martin; Vos, Sjoerd B; O’Keeffe, Aidan G; Li, Kuo; Wu, Chengyuan; Miserocchi, Anna; McEvoy, Andrew W; ",Automatic segmentation of stereoelectroencephalography (SEEG) electrodes post-implantation considering bending,International journal of computer assisted radiology and surgery,13,,935-946,2018,Springer
"Molteni, Erika; Canas, Liane S; Kläser, Kerstin; Deng, Jie; Bhopal, Sunil S; Hughes, Robert C; Chen, Liyuan; Murray, Benjamin; Kerfoot, Eric; Antonelli, Michela; ",Post-vaccination infection rates and modification of COVID-19 symptoms in vaccinated UK school-aged children and adolescents: A prospective longitudinal cohort study,The Lancet Regional Health-Europe,19,,100429,2022,Elsevier
"Li, Rongxin; Ourselin, Sébastien; ",Using marker-based deformable models for deriving anatomical models from medical image databases,"3rd IEEE International Symposium on Biomedical Imaging: Nano to Macro, 2006.",,,430-433,2006,IEEE
"Vandebroek, Tom; Ourak, Mouloud; Gruijthuijsen, Caspar; Esteveny, Laure; Javaux, Allan; Pimsamut, Chantika; Reynaerts, Dominiek; Ourselin, Sebastien; Stoyanov, Danail; Vercauteren, Tom; ",Rendering Flexible Endoscopy Manageable through In-Hand Automation,Proceedings of the 7th Joint Workshop on New Technologies for Computer/Robot Assisted Surgery,,,99-100,2017,
"Benussi, Alberto; Alberici, Antonella; Samra, Kiran; Russell, Lucy L; Greaves, Caroline V; Bocchetta, Martina; Ducharme, Simon; Finger, Elizabeth; Fumagalli, Giorgio; Galimberti, Daniela; ",Conceptual framework for the definition of preclinical and prodromal frontotemporal dementia,Alzheimer's & Dementia,18,7,1408-1423,2022,Wiley Online Library
"Biffi, Benedetta; Zuluaga, Maria A; Ourselin, Sébastien; Taylor, Andrew M; Schievano, Silvia; ",Papillary muscle segmentation from a multi-atlas database: a feasibility study,"Statistical Atlases and Computational Models of the Heart. Imaging and Modelling Challenges: 6th International Workshop, STACOM 2015, Held in Conjunction with MICCAI 2015, Munich, Germany, October 9, 2015, Revised Selected Papers",,,80-89,2016,Springer
"Bourgeat, Pierrick; Villemagne, Victor L; Fripp, Jurgen; Pike, Kerryn E; Raniga, Parnesh; Acosta, Oscar; Szoeke, Cassandra; Ourselin, Sebastien; Ames, David; Ellis, Kathryn A; ","O1‐01‐01: Relation between amyloid burden, brain atrophy and memory in Alzheimer's disease",Alzheimer's & Dementia,5,4S_Part_3,P76-P76,2009,Wiley Online Library
"Wilke, Carlo; Reich, Selina; van Swieten, John C; Borroni, Barbara; Sanchez‐Valle, Raquel; Moreno, Fermin; Laforce, Robert; Graff, Caroline; Galimberti, Daniela; Rowe, James B; ",Stratifying the presymptomatic phase of genetic frontotemporal dementia by serum NfL and pNfH: a longitudinal multicentre study,Annals of neurology,91,1,33-47,2022,Wiley Online Library
"Nousias, Sotiris; Chadebecq, Francois; Pichat, Jonas; Keane, Pearse; Ourselin, Sebastien; Bergeles, Christos; ",Corner-based geometric calibration of multi-focus plenoptic cameras,Proceedings of the IEEE International Conference on Computer Vision,,,957-965,2017,
"Bocchetta, Martina; Cardoso, M Jorge; Cash, David M; Rossor, Martin N; Frisoni, Giovanni Battista; Ourselin, Sebastien; Rohrer, Jonathan D; ",P2‐127: Volumetry of the cerebellum and its subregions in genetic frontotemporal dementia,Alzheimer's & Dementia,11,7S_Part_,,2015,Wiley
"Weiskopf, Nikolaus; Daga, Pankaj; Yousry, Tarek; Mancini, Laura; Magerkurth, Joerg; Thornton, John S; Flandin, Guillaume; De Vita, Enrico; Micallef, Caroline; Yamamoto, Adam K; ",Objective Bayesian fMRI analysis-a pilot study in different clinical environments.,Frontiers in Cellular Neuroscience,,,,2015,
"Hawkes, D; McClelland, J; Modat, M; Barratt, D; Rijkhorst, E; Hu, Y; Hipwell, J; Ourselin, S; ","IMAGE REGISTRATION, MOTION MODELING AND TISSUE DEFORMATION",Radiotherapy and Oncology,,92,S46,2009,
"Aughwane, Rosalind; Mufti, Nada; Flouri, Dimitra; Maksym, Kasia; Spencer, Rebecca; Sokolska, Magdalena; Kendall, Giles; Atkinson, David; Bainbridge, Alan; Deprest, Jan; ",Magnetic resonance imaging measurement of placental perfusion and oxygen saturation in early‐onset fetal growth restriction,BJOG: An International Journal of Obstetrics & Gynaecology,128,2,337-345,2021,Wiley Online Library
"Hütel, Michael; Melbourne, Andrew; Beckmann, Joanne; Rohrer, Jonathan; Marlow, Neil; Ourselin, Sebastien; ",Resting-state network patterns in extremely preterm born young adults,,,,,,
"Yiannakas, Marios C; Louka, Polymnia; Grussu, Francesco; Prados, Ferran; Samson, Rebecca S; Battiston, Marco; Ourselin, Sebastien; Miller, David H; Wheeler-Kingshott, Claudia Angela Michela Gandini; ",Reduced Field-of-View Diffusion-Weighted Imaging of the Lumbosacral Enlargement: A Pilot In Vivo study of the healthy spinal cord using a clinical 3T MR system,Proc. Intl. Soc. Mag. Reson. Med,24,,4402,2016,
"Shakir, Dzhoshkun Ismail; García-Peraza-Herrera, Luis Carlos; Daga, Pankaj; Doel, Tom; Clarkson, Matthew J; Ourselin, Sébastien; Vercauteren, Tom; ","GIFT-Grab: Real-time C++ and Python multi-channel video capture, processing and encoding API",Journal of Open Research Software,5,1,,2017,Ubiquity Press
"Vasconcelos, Francisco; Peebles, Donald; Ourselin, Sebastien; Stoyanov, Danail; ",Similarity registration problems for 2d/3d ultrasound calibration,"Computer Vision–ECCV 2016: 14th European Conference, Amsterdam, The Netherlands, October 11-14, 2016, Proceedings, Part VI 14",,,171-187,2016,Springer
"Daga, Pankaj; Winston, Gavin; Modat, Marc; Cardoso, M Jorge; White, Mark; Mancini, Laura; McEvoy, Andrew W; Thornton, John; Micallef, Caroline; Yousry, Tarek; ",Improved neuronavigation through integration of intraoperative anatomical and diffusion images in an interventional MRI suite,"Information Processing in Computer-Assisted Interventions: Second International Conference, IPCAI 2011, Berlin, Germany, June 22, 2011. Proceedings 2",,,168-178,2011,Springer
"Mehta, Pritesh; Antonelli, Michela; Punwani, Shonit; Ourselin, Sebastien; ",A 3D convolutional neural network for diagnosing prostate cancer using volumetric T2-weighted MRI.,,,,,,
"Gallagher, Katie; Dromey, Brian; Marlow, Neil; David, Anna; Ourselin, Sebastien; Duffy, James; ","Core outcome sets in women’s and newborn health: A review, methodological and reporting quality assessment informing recommendations for core outcome set developers and wider stakeholders",Authorea Preprints,,,,2020,Authorea
"Finlay, Malcolm C; Mosse, Charles A; Colchester, Richard J; Noimark, Sacha; Zhang, Edward Z; Ourselin, Sebastien; Beard, Paul C; Schilling, Richard J; Parkin, Ivan P; Papakonstantinou, Ioannis; ",Through-needle all-optical ultrasound imaging in vivo: a preclinical swine study,Light: Science & Applications,6,12,e17103-e17103,2017,Nature Publishing Group
"Nikitichev, DI; Xia, W; Daher, B; Hill, ER; Wong, RYJ; David, AL; Desjardins, AE; Ourselin, S; Vercauteren, T; ",Placenta vasculature 3D printed imaging and teaching phantoms,"32nd International Conference on Digital Printing Technologies, NIP 2016",,,431-434,2016,The Society for Imaging Science and Technology
"Tur, C; Eshaghi, A; Jenkins, TM; Prados, F; Clayden, JD; Ourselin, S; Altmann, DR; Wheeler-Kingshott, CAM; Miller, DH; Thompson, AJ; ",Longitudinal changes in structural cortical networks after clinically isolated syndrome,European Journal of Neurology,23,S2,32,2016,EUROPEAN ACADEMY OF NEUROLOGY
"Bragman, Felix JS; Tanno, Ryutaro; Ourselin, Sebastien; Alexander, Daniel C; Cardoso, M Jorge; ",Learning task-specific and shared representations in medical imaging,"Medical Image Computing and Computer Assisted Intervention–MICCAI 2019: 22nd International Conference, Shenzhen, China, October 13–17, 2019, Proceedings, Part IV 22",,,374-383,2019,Springer
"Simpson, Ivor JA; Cardoso, Manuel Jorge; Modat, Marc; Cash, David M; Woolrich, Mark W; Andersson, Jesper LR; Schnabel, Julia A; Ourselin, Sébastien; Alzheimer’s Disease Neuroimaging Initiative; ",Probabilistic non-linear registration with spatially adaptive regularisation,Medical image analysis,26,1,203-216,2015,Elsevier
"Ehrhardt, Matthias J; Thielemans, Kris; Pizarro, Luis; Markiewicz, Pawel; Atkinson, David; Ourselin, Sebastien; Hutton, Brian F; Arridge, Simon R; ",Joint reconstruction of PET-MRI by parallel level sets,2014 IEEE Nuclear Science Symposium and Medical Imaging Conference (NSS/MIC),,,1-6,2014,IEEE
"Graham, Mark S; Sudre, Carole H; Varsavsky, Thomas; Tudosiu, Petru-Daniel; Nachev, Parashkev; Ourselin, Sebastien; Cardoso, M Jorge; ",Hierarchical brain parcellation with uncertainty,"Uncertainty for Safe Utilization of Machine Learning in Medical Imaging, and Graphs in Biomedical Image Analysis: Second International Workshop, UNSURE 2020, and Third International Workshop, GRAIL 2020, Held in Conjunction with MICCAI 2020, Lima, Peru, October 8, 2020, Proceedings 2",,,23-31,2020,Springer
"Meeter, L; Dopper, E; Jiskoot, L; Sanchez-Valle, R; Graff, C; Benussi, L; Ghidoni, R; Pijnenburg, Y; Borroni, B; Galimberti, D; ",Neurofilament light chain: a biomarker for disease onset and survival in genetic frontotemporal dementia,Journal of Neurochemistry,138,,386-386,2016,Wiley
"Huber, Martin; Mitchell, John Bason; Henry, Ross; Ourselin, Sébastien; Vercauteren, Tom; Bergeles, Christos; ",Homography-based visual servoing with remote center of motion for semi-autonomous robotic endoscope manipulation,2021 International Symposium on Medical Robotics (ISMR),,,1-7,2021,IEEE
"Hoang Duc, Albert K; Eminowicz, Gemma; Mendes, Ruheena; Wong, Swee‐Ling; McClelland, Jamie; Modat, Marc; Cardoso, M Jorge; Mendelson, Alex F; Veiga, Catarina; Kadir, Timor; ",Validation of clinical acceptability of an atlas‐based segmentation algorithm for the delineation of organs at risk in head and neck cancer,Medical physics,42,9,5027-5034,2015,Wiley Online Library
"Barnes, Josephine; Lehmann, Manja; Leung, Kelvin K; Bartlett, Jonathan W; Ourselin, Sebastien; Warrington, Elizabeth K; Fox, Nick C; Crutch, Sebastian J; ",P2‐459: Posterior cortical atrophy patients with relatively preserved memory have abnormal hippocampal volumes,Alzheimer's & Dementia,6,,e11-e11,2010,Wiley Online Library
"Mang, Andreas; Schnabel, Julia A; Crum, William R; Modat, Marc; Camara-Rey, Oscar; Palm, Christoph; Caseiras, Gisele Brasil; Jäger, H Rolf; Ourselin, Sébastien; Buzug, Thorsten M; ",Consistency of parametric registration in serial MRI studies of brain tumor progression,International Journal of Computer Assisted Radiology and Surgery,3,,201-211,2008,Springer
"Wiesenfarth, Manuel; Reinke, Annika; Landman, Bennett A; Eisenmann, Matthias; Saiz, Laura Aguilera; Cardoso, M Jorge; Maier-Hein, Lena; Kopp-Schneider, Annette; ",Author Correction: Methods and open-source toolkit for analyzing and visualizing challenge results,Scientific Reports,11,1,1-1,2021,Springer
"Pedemonte, S; Bousse, A; Erlandsson, K; Modat, M; Arridge, S; Hutton, BF; Ourselin, S; ",GPU accelerated rotation-based emission tomography reconstruction,IEEE Nuclear Science Symposuim & Medical Imaging Conference,,,2657-2661,2010,IEEE
"Grussu, Francesco; Battiston, Marco; Prados Carrasco, F; Schneider, Torben; Kaden, Enrico; Ourselin, Sébastien; Samson, R; Alexander, Daniel C; Wheeler-Kingshott, CAM; ",Whole-brain macromolecular tissue volume mapping: a comparison of imaging readouts at 3 Tesla,Frontiers in Cellular Neuroscience,,,55-61,2017,Frontiers
"Lopez Pinaya, Walter Hugo; Tudosiu, Petru-Daniel; Gray, Robert; Rees, Geraint; Nachev, Parashkev; Ourselin, Sebastien; Cardoso, M Jorge; ",Unsupervised Brain Anomaly Detection and Segmentation with Transformers,arXiv e-prints,,,arXiv: 2102.11650,2021,
"Manning, Emily N; Macdonald, Kate E; Leung, Kelvin K; Young, Jonathan; Pepple, Tracey; Lehmann, Manja; Zuluaga, Maria A; Cardoso, M Jorge; Schott, Jonathan M; Ourselin, Sebastien; ",Differential hippocampal shapes in posterior cortical atrophy patients: a comparison with control and typical AD subjects,Human brain mapping,36,12,5123-5136,2015,Wiley Online Library
"Coath, William; Modat, Marc; Cardoso, M Jorge; Markiewicz, Pawel J; Lane, Christopher A; Parker, Thomas D; Keshavan, Ashvini; Buchanan, Sarah M; Keuss, Sarah E; Harris, Matthew J; ",Methodology dependent sex differences in Aβ-PET measured with SUVR,Alzheimer's Association International Conference,,,,2022,ALZ
"James, Sarah‐Naomi; Nicholas, Jennifer M; Lane, Christopher A; Parker, Thomas D; Lu, Kirsty; Keshavan, Ashvini; Buchanan, Sarah M; Keuss, Sarah E; Murray‐Smith, Heidi; Wong, Andrew; ","A population‐based study of head injury, cognitive function and pathological markers",Annals of clinical and translational neurology,8,4,842-856,2021,Wiley Online Library
